2461,77ca,②
2462,77cb,③
2463,77cc,④
2464,77cd,⑤
2465,77ce,⑥
2466,77cf,⑦
2467,77d0,⑧
2468,77d1,⑨
2469,77d2,⑩
246a,77d3,⑪
246b,77d4,⑫
246c,77d5,⑬
246d,77d6,⑭
246e,77d7,⑮
246f,77d8,⑯
2470,77d9,⑰
2471,77da,⑱
2472,77db,⑲
2473,77dc,⑳
2474,77b4,⑴
2475,77b5,⑵
2476,77b6,⑶
2477,77b7,⑷
2478,77b8,⑸
2479,77b9,⑹
247a,77ba,⑺
247b,77bb,⑻
247c,77bc,⑼
247d,77bd,⑽
247e,77be,⑾
247f,77bf,⑿
2480,77c0,⒀
2481,77c1,⒁
2482,77c2,⒂
2483,77c3,⒃
2484,77c4,⒄
2485,77c5,⒅
2486,77c6,⒆
2487,77c7,⒇
2488,77aa,⒈
2489,77ab,⒉
248a,77ac,⒊
248b,77ad,⒋
248c,77ae,⒌
248d,77af,⒍
248e,77b0,⒎
248f,77b1,⒏
2490,77b2,⒐
249c,78a1,⒜
249d,78a2,⒝
249e,78a3,⒞
249f,78a4,⒟
24a0,78a5,⒠
24a1,78a6,⒡
24a2,78a7,⒢
24a3,78a8,⒣
24a4,78a9,⒤
24a5,78aa,⒥
24a6,78ab,⒦
24a7,78ac,⒧
24a8,78ad,⒨
24a9,78ae,⒩
24aa,78af,⒪
24ab,78b0,⒫
24ac,78b1,⒬
24ad,78b2,⒭
24ae,78b3,⒮
24af,78b4,⒯
24b0,78b5,⒰
24b1,78b6,⒱
24b2,78b7,⒲
24b3,78b8,⒳
24b4,78b9,⒴
24b5,78ba,⒵
2500,7cd1,─
2501,75ba,━
2502,7cd2,│
2503,7cf7,┃
250c,7cc1,┌
250f,7ce6,┏
2510,7cc2,┐
2513,7ce7,┓
2514,7cc4,└
2517,7ce9,┗
2518,7cc3,┘
251b,7ce8,┛
251c,7cc7,├
251d,7fa2,┝
2520,7cca,┠
2521,7ff3,┡
2522,7ff2,┢
2523,7cf3,┣
2524,7cc8,┤
2525,7fa4,┥
2528,7ccc,┨
2529,7ff5,┩
252a,7ff4,┪
252b,7cf4,┫
252c,7cc5,┬
252f,7ccb,┯
2530,7fa3,┰
2531,7ff8,┱
2532,7ff6,┲
2533,7cf1,┳
2534,7cc6,┴
2537,7cc0,┷
2538,7fa1,┸
2539,7ff1,┹
253a,7ff7,┺
253b,7cf2,┻
253c,7cc9,┼
253f,7cce,┿
2542,7ccd,╂
254b,7cf5,╋
254c,75b7,╌
254d,75bb,╍
2574,7fb6,╴
2575,7fb5,╵
2576,7fb8,╶
2577,7fb7,╷
2578,7fc2,╸
2579,7fc1,╹
257a,7fc4,╺
257b,7fc3,╻
2588,75ae,█
2591,75b1,░
2592,75b6,▒
2593,75b5,▓
25a0,a2a3,■
25a1,a2a2,□
25a2,76b4,▢
25ab,7bda,▫
25b2,a2a5,▲
25b3,a2a4,△
25b5,7bc4,▵
25b6,7ea8,▶
25b7,76af,▷
25bc,a2a7,▼
25bd,a2a6,▽
25c1,76ae,◁
25c6,a2a1,◆
25c7,a1fe,◇
25cb,a1fb,○
25ce,a1fd,◎
25cf,a1fc,●
25ef,7ff0,◯
2605,a1fa,★
2606,a1f9,☆
260f,76f7,☏
2640,a1ea,♀
2642,a1e9,♂
2661,76b6,♡
2662,76b8,♢
2664,76b7,♤
2667,76b5,♧
266a,7fec,♪
266d,7feb,♭
266f,7fea,♯
26ac,7bca,⚬
26dd,7eec,⛝
2731,7bd1,✱
2b60,7ea6,⭠
2b62,7ea5,⭢
3000,4040,　
3001,a1a2,、
3002,a1a3,。
3003,a1b7,〃
3005,a1b9,々
3006,a1ba,〆
3007,a1bb,〇
3008,a1d2,〈
3009,a1d3,〉
300a,a1d4,《
300b,a1d5,》
300c,a1d6,「
300d,a1d7,」
300e,a1d8,『
300f,a1d9,』
3010,a1da,【
3011,a1db,】
3012,a2a9,〒
3013,a2ae,〓
3014,a1cc,〔
3015,a1cd,〕
3020,76f9,〠
3036,76f8,〶
3041,a4a1,ぁ
3042,a4a2,あ
3043,a4a3,ぃ
3044,a4a4,い
3045,a4a5,ぅ
3046,a4a6,う
3047,a4a7,ぇ
3048,a4a8,え
3049,a4a9,ぉ
304a,a4aa,お
304b,a4ab,か
304c,a4ac,が
304d,a4ad,き
304e,a4ae,ぎ
304f,a4af,く
3050,a4b0,ぐ
3051,a4b1,け
3052,a4b2,げ
3053,a4b3,こ
3054,a4b4,ご
3055,a4b5,さ
3056,a4b6,ざ
3057,a4b7,し
3058,a4b8,じ
3059,a4b9,す
305a,a4ba,ず
305b,a4bb,せ
305c,a4bc,ぜ
305d,a4bd,そ
305e,a4be,ぞ
305f,a4bf,た
3060,a4c0,だ
3061,a4c1,ち
3062,a4c2,ぢ
3063,a4c3,っ
3064,a4c4,つ
3065,a4c5,づ
3066,a4c6,て
3067,a4c7,で
3068,a4c8,と
3069,a4c9,ど
306a,a4ca,な
306b,a4cb,に
306c,a4cc,ぬ
306d,a4cd,ね
306e,a4ce,の
306f,a4cf,は
3070,a4d0,ば
3071,a4d1,ぱ
3072,a4d2,ひ
3073,a4d3,び
3074,a4d4,ぴ
3075,a4d5,ふ
3076,a4d6,ぶ
3077,a4d7,ぷ
3078,a4d8,へ
3079,a4d9,べ
307a,a4da,ぺ
307b,a4db,ほ
307c,a4dc,ぼ
307d,a4dd,ぽ
307e,a4de,ま
307f,a4df,み
3080,a4e0,む
3081,a4e1,め
3082,a4e2,も
3083,a4e3,ゃ
3084,a4e4,や
3085,a4e5,ゅ
3086,a4e6,ゆ
3087,a4e7,ょ
3088,a4e8,よ
3089,a4e9,ら
308a,a4ea,り
308b,a4eb,る
308c,a4ec,れ
308d,a4ed,ろ
308e,a4ee,ゎ
308f,a4ef,わ
3090,a4f0,ゐ
3091,a4f1,ゑ
3092,a4f2,を
3093,a4f3,ん
3099,a1ab,゙
309a,a1ac,゚
309b,a1ab,゛
309c,a1ac,゜
309d,a1b5,ゝ
309e,a1b6,ゞ
30a1,a5a1,ァ
30a2,a5a2,ア
30a3,a5a3,ィ
30a4,a5a4,イ
30a5,a5a5,ゥ
30a6,a5a6,ウ
30a7,a5a7,ェ
30a8,a5a8,エ
30a9,a5a9,ォ
30aa,a5aa,オ
30ab,a5ab,カ
30ac,a5ac,ガ
30ad,a5ad,キ
30ae,a5ae,ギ
30af,a5af,ク
30b0,a5b0,グ
30b1,a5b1,ケ
30b2,a5b2,ゲ
30b3,a5b3,コ
30b4,a5b4,ゴ
30b5,a5b5,サ
30b6,a5b6,ザ
30b7,a5b7,シ
30b8,a5b8,ジ
30b9,a5b9,ス
30ba,a5ba,ズ
30bb,a5bb,セ
30bc,a5bc,ゼ
30bd,a5bd,ソ
30be,a5be,ゾ
30bf,a5bf,タ
30c0,a5c0,ダ
30c1,a5c1,チ
30c2,a5c2,ヂ
30c3,a5c3,ッ
30c4,a5c4,ツ
30c5,a5c5,ヅ
30c6,a5c6,テ
30c7,a5c7,デ
30c8,a5c8,ト
30c9,a5c9,ド
30ca,a5ca,ナ
30cb,a5cb,ニ
